date,climateBar,prices,climate,country
19830708,100,994,0,Greenland
19830709,100,962,0,Greenland
19830710,100,939,0,Greenland
19830711,100,984,0,Greenland
19830712,100,931,0,Greenland
19830713,100,990,0,Greenland
19830714,100,949,0,Greenland
19830715,100,937,0,Greenland
19830716,100,956,0,Greenland
19830717,100,986,0,Greenland
19830718,100,942,0,Greenland
19830719,100,981,0,Greenland
19830720,100,945,0,Greenland
19830721,100,973,0,Greenland
19830722,100,914,0,Greenland
19830723,100,948,0,Greenland
19830724,100,922,0,Greenland
19830725,100,932,0,Greenland
19830726,100,978,0,Greenland
19830727,100,944,0,Greenland
19830728,100,906,0,Greenland
19830729,100,956,0,Greenland
19830730,100,948,0,Greenland
19830731,100,970,0,Greenland
19830801,100,928,2,Greenland
19830802,100,926,2,Greenland
19830803,100,887,2,Greenland
19830804,100,916,2,Greenland
19830805,100,857,2,Greenland
19830806,100,911,2,Greenland
19830807,100,915,2,Greenland
19830808,100,934,2,Greenland
19830809,100,918,2,Greenland
19830810,100,909,2,Greenland
19830811,100,905,2,Greenland
19830812,100,932,2,Greenland
19830813,100,886,2,Greenland
19830814,100,917,2,Greenland
19830815,100,877,2,Greenland
19830816,100,921,2,Greenland
19830817,100,879,2,Greenland
19830818,100,946,2,Greenland
19830819,100,864,2,Greenland
19830820,100,865,2,Greenland
19830821,100,883,2,Greenland
19830822,100,897,2,Greenland
19830823,100,930,2,Greenland
19830824,100,929,2,Greenland
19830825,100,864,2,Greenland
19830826,100,862,2,Greenland
19830827,100,948,2,Greenland
19830828,100,908,2,Greenland
19830829,100,917,2,Greenland
19830830,100,856,2,Greenland
19830831,100,881,2,Greenland
19830901,100,847,1,Greenland
19830902,100,803,1,Greenland
19830903,100,820,1,Greenland
19830904,100,830,1,Greenland
19830905,100,812,1,Greenland
19830906,100,848,1,Greenland
19830907,100,842,1,Greenland
19830908,100,801,1,Greenland
19830909,100,827,1,Greenland
19830910,100,804,1,Greenland
19830911,100,831,1,Greenland
19830912,100,817,1,Greenland
19830913,100,826,1,Greenland
19830914,100,847,1,Greenland
19830915,100,845,1,Greenland
19830916,100,809,1,Greenland
19830917,100,819,1,Greenland
19830918,100,848,1,Greenland
19830919,100,824,1,Greenland
19830920,100,817,1,Greenland
19830921,100,836,1,Greenland
19830922,100,801,1,Greenland
19830923,100,827,1,Greenland
19830924,100,816,1,Greenland
19830925,100,835,1,Greenland
19830926,100,847,1,Greenland
19830927,100,828,1,Greenland
19830928,100,809,1,Greenland
19830929,100,843,1,Greenland
19830930,100,828,1,Greenland
19831001,100,842,1,Greenland
19831002,100,850,1,Greenland
19831003,100,806,1,Greenland
19831004,100,844,1,Greenland
19831005,100,833,1,Greenland
19831006,100,848,1,Greenland
19831007,100,839,1,Greenland
19831008,100,837,1,Greenland
19831009,100,829,1,Greenland
19831010,100,822,1,Greenland
19831011,100,836,1,Greenland
19831012,100,818,1,Greenland
19831013,100,807,1,Greenland
19831014,100,815,1,Greenland
19831015,100,809,1,Greenland
19831016,100,840,1,Greenland
19831017,100,800,1,Greenland
19831018,100,827,1,Greenland
19831019,100,828,1,Greenland
19831020,100,837,1,Greenland
19831021,100,808,1,Greenland
19831022,100,824,1,Greenland
19831023,100,822,1,Greenland
19831024,100,849,1,Greenland
19831025,100,843,1,Greenland
19831026,100,848,1,Greenland
19831027,100,815,1,Greenland
19831028,100,822,1,Greenland
19831029,100,826,1,Greenland
19831030,100,842,1,Greenland
19831031,100,814,1,Greenland
19831101,100,1000,0,Greenland
19831102,100,910,0,Greenland
19831103,100,986,0,Greenland
19831104,100,937,0,Greenland
19831105,100,915,0,Greenland
19831106,100,946,0,Greenland
19831107,100,912,0,Greenland
19831108,100,933,0,Greenland
19831109,100,944,0,Greenland
19831110,100,926,0,Greenland
19831111,100,952,0,Greenland
19831112,100,911,0,Greenland
19831113,100,918,0,Greenland
19831114,100,910,0,Greenland
19831115,100,935,0,Greenland
19831116,100,918,0,Greenland
19831117,100,985,0,Greenland
19831118,100,954,0,Greenland
19831119,100,916,0,Greenland
19831120,100,993,0,Greenland
19831121,100,967,0,Greenland
19831122,100,977,0,Greenland
19831123,100,905,0,Greenland
19831124,100,976,0,Greenland
19831125,100,924,0,Greenland
19831126,100,909,0,Greenland
19831127,100,930,0,Greenland
19831128,100,996,0,Greenland
19831129,100,996,0,Greenland
19831130,100,904,0,Greenland
19831201,100,913,2,Greenland
19831202,100,874,2,Greenland
19831203,100,933,2,Greenland
19831204,100,886,2,Greenland
19831205,100,874,2,Greenland
19831206,100,916,2,Greenland
19831207,100,856,2,Greenland
19831208,100,930,2,Greenland
19831209,100,943,2,Greenland
19831210,100,908,2,Greenland
19831211,100,863,2,Greenland
19831212,100,854,2,Greenland
19831213,100,901,2,Greenland
19831214,100,949,2,Greenland
19831215,100,932,2,Greenland
19831216,100,950,2,Greenland
19831217,100,871,2,Greenland
19831218,100,892,2,Greenland
19831219,100,878,2,Greenland
19831220,100,866,2,Greenland
19831221,100,902,2,Greenland
19831222,100,910,2,Greenland
19831223,100,925,2,Greenland
19831224,100,854,2,Greenland
19831225,100,911,2,Greenland
19831226,100,915,2,Greenland
19831227,100,900,2,Greenland
19831228,100,851,2,Greenland
19831229,100,926,2,Greenland
19831230,100,946,2,Greenland
19831231,100,872,2,Greenland
19830101,100,891,2,Iceland
19830102,100,916,2,Iceland
19830103,100,877,2,Iceland
19830104,100,866,2,Iceland
19830105,100,862,2,Iceland
19830106,100,870,2,Iceland
19830107,100,932,2,Iceland
19830108,100,884,2,Iceland
19830109,100,883,2,Iceland
19830110,100,910,2,Iceland
19830111,100,865,2,Iceland
19830112,100,938,2,Iceland
19830113,100,905,2,Iceland
19830114,100,939,2,Iceland
19830115,100,929,2,Iceland
19830116,100,948,2,Iceland
19830117,100,878,2,Iceland
19830118,100,876,2,Iceland
19830119,100,885,2,Iceland
19830120,100,885,2,Iceland
19830121,100,923,2,Iceland
19830122,100,916,2,Iceland
19830123,100,950,2,Iceland
19830124,100,875,2,Iceland
19830125,100,922,2,Iceland
19830126,100,889,2,Iceland
19830127,100,888,2,Iceland
19830128,100,899,2,Iceland
19830129,100,862,2,Iceland
19830130,100,936,2,Iceland
19830131,100,917,2,Iceland
19830201,100,870,2,Iceland
19830202,100,918,2,Iceland
19830203,100,935,2,Iceland
19830204,100,894,2,Iceland
19830205,100,873,2,Iceland
19830206,100,883,2,Iceland
19830207,100,880,2,Iceland
19830208,100,882,2,Iceland
19830209,100,919,2,Iceland
19830210,100,851,2,Iceland
19830211,100,887,2,Iceland
19830212,100,936,2,Iceland
19830213,100,896,2,Iceland
19830214,100,948,2,Iceland
19830215,100,946,2,Iceland
19830216,100,919,2,Iceland
19830217,100,941,2,Iceland
19830218,100,865,2,Iceland
19830219,100,866,2,Iceland
19830220,100,925,2,Iceland
19830221,100,909,2,Iceland
19830222,100,897,2,Iceland
19830223,100,947,2,Iceland
19830224,100,948,2,Iceland
19830225,100,850,2,Iceland
19830226,100,868,2,Iceland
19830227,100,917,2,Iceland
19830228,100,865,2,Iceland
19830229,100,870,2,Iceland
19830301,100,845,1,Iceland
19830302,100,841,1,Iceland
19830303,100,832,1,Iceland
19830304,100,830,1,Iceland
19830305,100,813,1,Iceland
19830306,100,831,1,Iceland
19830307,100,814,1,Iceland
19830308,100,823,1,Iceland
19830309,100,803,1,Iceland
19830310,100,804,1,Iceland
19830311,100,836,1,Iceland
19830312,100,814,1,Iceland
19830313,100,840,1,Iceland
19830314,100,850,1,Iceland
19830315,100,813,1,Iceland
19830316,100,840,1,Iceland
19830317,100,835,1,Iceland
19830318,100,823,1,Iceland
19830319,100,813,1,Iceland
19830320,100,850,1,Iceland
19830321,100,802,1,Iceland
19830322,100,821,1,Iceland
19830323,100,829,1,Iceland
19830324,100,816,1,Iceland
19830325,100,825,1,Iceland
19830326,100,810,1,Iceland
19830327,100,834,1,Iceland
19830328,100,824,1,Iceland
19830329,100,825,1,Iceland
19830330,100,807,1,Iceland
19830331,100,821,1,Iceland
19830401,100,813,1,Iceland
19830402,100,807,1,Iceland
19830403,100,839,1,Iceland
19830404,100,845,1,Iceland
19830405,100,800,1,Iceland
19830406,100,806,1,Iceland
19830407,100,821,1,Iceland
19830408,100,802,1,Iceland
19830409,100,822,1,Iceland
19830410,100,830,1,Iceland
19830411,100,840,1,Iceland
19830412,100,817,1,Iceland
19830413,100,802,1,Iceland
19830414,100,809,1,Iceland
19830415,100,816,1,Iceland
19830416,100,811,1,Iceland
19830417,100,849,1,Iceland
19830418,100,827,1,Iceland
19830419,100,825,1,Iceland
19830420,100,809,1,Iceland
19830421,100,805,1,Iceland
19830422,100,814,1,Iceland
19830423,100,839,1,Iceland
19830424,100,823,1,Iceland
19830425,100,837,1,Iceland
19830426,100,835,1,Iceland
19830427,100,843,1,Iceland
19830428,100,850,1,Iceland
19830429,100,835,1,Iceland
19830430,100,817,1,Iceland
19830501,100,988,0,Iceland
19830502,100,930,0,Iceland
19830503,100,942,0,Iceland
19830504,100,980,0,Iceland
19830505,100,988,0,Iceland
19830506,100,967,0,Iceland
19830507,100,983,0,Iceland
19830508,100,972,0,Iceland
19830509,100,993,0,Iceland
19830510,100,949,0,Iceland
19830511,100,912,0,Iceland
19830512,100,974,0,Iceland
19830513,100,930,0,Iceland
19830514,100,926,0,Iceland
19830515,100,943,0,Iceland
19830516,100,914,0,Iceland
19830517,100,907,0,Iceland
19830518,100,989,0,Iceland
19830519,100,929,0,Iceland
19830520,100,972,0,Iceland
19830521,100,905,0,Iceland
19830522,100,909,0,Iceland
19830523,100,986,0,Iceland
19830524,100,966,0,Iceland
19830525,100,921,0,Iceland
19830526,100,900,0,Iceland
19830527,100,984,0,Iceland
19830528,100,922,0,Iceland
19830529,100,953,0,Iceland
19830530,100,936,0,Iceland
19830531,100,906,0,Iceland
19830601,100,820,1,Iceland
19830602,100,821,1,Iceland
19830603,100,834,1,Iceland
19830604,100,825,1,Iceland
19830605,100,847,1,Iceland
19830606,100,847,1,Iceland
19830607,100,816,1,Iceland
19830608,100,834,1,Iceland
19830609,100,818,1,Iceland
19830610,100,810,1,Iceland
19830611,100,849,1,Iceland
19830612,100,844,1,Iceland
19830613,100,818,1,Iceland
19830614,100,802,1,Iceland
19830615,100,825,1,Iceland
19830616,100,805,1,Iceland
19830617,100,801,1,Iceland
19830618,100,816,1,Iceland
19830619,100,807,1,Iceland
19830620,100,802,1,Iceland
19830621,100,828,1,Iceland
19830622,100,828,1,Iceland
19830623,100,822,1,Iceland
19830624,100,848,1,Iceland
19830625,100,810,1,Iceland
19830626,100,841,1,Iceland
19830627,100,818,1,Iceland
19830628,100,844,1,Iceland
19830629,100,837,1,Iceland
19830630,100,850,1,Iceland
19830701,100,913,2,Iceland
19830702,100,905,2,Iceland
19830703,100,894,2,Iceland
19830704,100,924,2,Iceland
19830705,100,880,2,Iceland
19830706,100,950,2,Iceland
19830707,100,913,2,Iceland
19830708,100,929,2,Iceland
19830709,100,944,2,Iceland
19830710,100,855,2,Iceland
19830711,100,899,2,Iceland
19830712,100,945,2,Iceland
19830713,100,862,2,Iceland
19830714,100,884,2,Iceland
19830715,100,937,2,Iceland
19830716,100,879,2,Iceland
19830717,100,943,2,Iceland
19830718,100,850,2,Iceland
19830719,100,935,2,Iceland
19830720,100,862,2,Iceland
19830721,100,921,2,Iceland
19830722,100,936,2,Iceland
19830723,100,909,2,Iceland
19830724,100,884,2,Iceland
19830725,100,867,2,Iceland
19830726,100,944,2,Iceland
19830727,100,865,2,Iceland
19830728,100,883,2,Iceland
19830729,100,922,2,Iceland
19830730,100,914,2,Iceland
19830731,100,936,2,Iceland
19830801,100,867,2,Iceland
19830802,100,917,2,Iceland
19830803,100,879,2,Iceland
19830804,100,923,2,Iceland
19830805,100,909,2,Iceland
19830806,100,892,2,Iceland
19830807,100,869,2,Iceland
19830808,100,911,2,Iceland
19830809,100,852,2,Iceland
19830810,100,884,2,Iceland
19830811,100,949,2,Iceland
19830812,100,874,2,Iceland
19830813,100,851,2,Iceland
19830814,100,890,2,Iceland
19830815,100,893,2,Iceland
19830816,100,872,2,Iceland
19830817,100,873,2,Iceland
19830818,100,901,2,Iceland
19830819,100,915,2,Iceland
19830820,100,896,2,Iceland
19830821,100,945,2,Iceland
19830822,100,918,2,Iceland
19830823,100,895,2,Iceland
19830824,100,876,2,Iceland
19830825,100,859,2,Iceland
19830826,100,918,2,Iceland
19830827,100,941,2,Iceland
19830828,100,890,2,Iceland
19830829,100,888,2,Iceland
19830830,100,929,2,Iceland
19830831,100,881,2,Iceland
19830901,100,828,1,Iceland
19830902,100,810,1,Iceland
19830903,100,811,1,Iceland
19830904,100,807,1,Iceland
19830905,100,820,1,Iceland
19830906,100,807,1,Iceland
19830907,100,830,1,Iceland
19830908,100,847,1,Iceland
19830909,100,848,1,Iceland
19830910,100,827,1,Iceland
19830911,100,837,1,Iceland
19830912,100,809,1,Iceland
19830913,100,828,1,Iceland
19830914,100,833,1,Iceland
19830915,100,808,1,Iceland
19830916,100,820,1,Iceland
19830917,100,825,1,Iceland
19830918,100,805,1,Iceland
19830919,100,815,1,Iceland
19830920,100,842,1,Iceland
19830921,100,845,1,Iceland
19830922,100,803,1,Iceland
19830923,100,824,1,Iceland
19830924,100,829,1,Iceland
19830925,100,803,1,Iceland
19830926,100,818,1,Iceland
19830927,100,800,1,Iceland
19830928,100,843,1,Iceland
19830929,100,809,1,Iceland
19830930,100,849,1,Iceland
19831001,100,967,0,Iceland
19831002,100,1000,0,Iceland
19831003,100,958,0,Iceland
19831004,100,938,0,Iceland
19831005,100,966,0,Iceland
19831006,100,900,0,Iceland
19831007,100,955,0,Iceland
19831008,100,937,0,Iceland
19831009,100,939,0,Iceland
19831010,100,955,0,Iceland
19831011,100,936,0,Iceland
19831012,100,949,0,Iceland
19831013,100,935,0,Iceland
19831014,100,917,0,Iceland
19831015,100,973,0,Iceland
19831016,100,932,0,Iceland
19831017,100,952,0,Iceland
19831018,100,947,0,Iceland
19831019,100,954,0,Iceland
19831020,100,907,0,Iceland
19831021,100,990,0,Iceland
19831022,100,996,0,Iceland
19831023,100,973,0,Iceland
19831024,100,986,0,Iceland
19831025,100,995,0,Iceland
19831026,100,948,0,Iceland
19831027,100,944,0,Iceland
19831028,100,937,0,Iceland
19831029,100,942,0,Iceland
19831030,100,959,0,Iceland
19831031,100,983,0,Iceland
19831101,100,884,2,Iceland
19831102,100,935,2,Iceland
19831103,100,936,2,Iceland
19831104,100,883,2,Iceland
19831105,100,892,2,Iceland
19831106,100,890,2,Iceland
19831107,100,899,2,Iceland
19831108,100,884,2,Iceland
19831109,100,889,2,Iceland
19831110,100,876,2,Iceland
19831111,100,878,2,Iceland
19831112,100,932,2,Iceland
19831113,100,884,2,Iceland
19831114,100,945,2,Iceland
19831115,100,897,2,Iceland
19831116,100,868,2,Iceland
19831117,100,909,2,Iceland
19831118,100,925,2,Iceland
19831119,100,913,2,Iceland
19831120,100,914,2,Iceland
19831121,100,920,2,Iceland
19831122,100,948,2,Iceland
19831123,100,946,2,Iceland
19831124,100,935,2,Iceland
19831125,100,926,2,Iceland
19831126,100,864,2,Iceland
19831127,100,876,2,Iceland
19831128,100,933,2,Iceland
19831129,100,917,2,Iceland
19831130,100,852,2,Iceland
19831201,100,923,2,Iceland
19831202,100,863,2,Iceland
19831203,100,893,2,Iceland
19831204,100,939,2,Iceland
19831205,100,874,2,Iceland
19831206,100,918,2,Iceland
19831207,100,901,2,Iceland
19831208,100,899,2,Iceland
19831209,100,912,2,Iceland
19831210,100,861,2,Iceland
19831211,100,942,2,Iceland
19831212,100,883,2,Iceland
19831213,100,893,2,Iceland
19831214,100,897,2,Iceland
19831215,100,899,2,Iceland
19831216,100,924,2,Iceland
19831217,100,906,2,Iceland
19831218,100,877,2,Iceland
19831219,100,924,2,Iceland
19831220,100,925,2,Iceland
19831221,100,888,2,Iceland
19831222,100,929,2,Iceland
19831223,100,923,2,Iceland
19831224,100,922,2,Iceland
19831225,100,909,2,Iceland
19831226,100,906,2,Iceland
19831227,100,880,2,Iceland
19831228,100,939,2,Iceland
19831229,100,900,2,Iceland
19831230,100,937,2,Iceland
19831231,100,871,2,Iceland
19830101,100,987,0,Canada
19830102,100,936,0,Canada
19830103,100,934,0,Canada
19830104,100,976,0,Canada
19830105,100,940,0,Canada
19830106,100,957,0,Canada
19830107,100,955,0,Canada
19830108,100,936,0,Canada
19830109,100,996,0,Canada
19830110,100,911,0,Canada
19830111,100,937,0,Canada
19830112,100,939,0,Canada
19830113,100,910,0,Canada
19830114,100,900,0,Canada
19830115,100,984,0,Canada
19830116,100,954,0,Canada
19830117,100,963,0,Canada
19830118,100,961,0,Canada
19830119,100,909,0,Canada
19830120,100,947,0,Canada
19830121,100,918,0,Canada
19830122,100,974,0,Canada
19830123,100,983,0,Canada
19830124,100,966,0,Canada
19830125,100,989,0,Canada
19830126,100,919,0,Canada
19830127,100,918,0,Canada
19830128,100,982,0,Canada
19830129,100,995,0,Canada
19830130,100,918,0,Canada
19830131,100,943,0,Canada
19830201,100,931,0,Canada
19830202,100,966,0,Canada
19830203,100,904,0,Canada
19830204,100,965,0,Canada
19830205,100,908,0,Canada
19830206,100,916,0,Canada
19830207,100,943,0,Canada
19830208,100,932,0,Canada
19830209,100,907,0,Canada
19830210,100,908,0,Canada
19830211,100,979,0,Canada
19830212,100,918,0,Canada
19830213,100,930,0,Canada
19830214,100,928,0,Canada
19830215,100,968,0,Canada
19830216,100,999,0,Canada
19830217,100,949,0,Canada
19830218,100,998,0,Canada
19830219,100,987,0,Canada
19830220,100,938,0,Canada
19830221,100,961,0,Canada
19830222,100,901,0,Canada
19830223,100,989,0,Canada
19830224,100,962,0,Canada
19830225,100,929,0,Canada
19830226,100,932,0,Canada
19830227,100,910,0,Canada
19830228,100,901,0,Canada
19830229,100,999,0,Canada
19830301,100,800,1,Canada
19830302,100,837,1,Canada
19830303,100,841,1,Canada
19830304,100,833,1,Canada
19830305,100,841,1,Canada
19830306,100,827,1,Canada
19830307,100,845,1,Canada
19830308,100,849,1,Canada
19830309,100,817,1,Canada
19830310,100,832,1,Canada
19830311,100,825,1,Canada
19830312,100,833,1,Canada
19830313,100,811,1,Canada
19830314,100,821,1,Canada
19830315,100,833,1,Canada
19830316,100,847,1,Canada
19830317,100,831,1,Canada
19830318,100,814,1,Canada
19830319,100,839,1,Canada
19830320,100,831,1,Canada
19830321,100,837,1,Canada
19830322,100,820,1,Canada
19830323,100,843,1,Canada
19830324,100,807,1,Canada
19830325,100,819,1,Canada
19830326,100,821,1,Canada
19830327,100,836,1,Canada
19830328,100,833,1,Canada
19830329,100,846,1,Canada
19830330,100,811,1,Canada
19830331,100,848,1,Canada
19830401,100,810,1,Canada
19830402,100,840,1,Canada
19830403,100,806,1,Canada
19830404,100,815,1,Canada
19830405,100,841,1,Canada
19830406,100,806,1,Canada
19830407,100,825,1,Canada
19830408,100,823,1,Canada
19830409,100,844,1,Canada
19830410,100,828,1,Canada
19830411,100,821,1,Canada
19830412,100,845,1,Canada
19830413,100,811,1,Canada
19830414,100,839,1,Canada
19830415,100,807,1,Canada
19830416,100,839,1,Canada
19830417,100,840,1,Canada
19830418,100,815,1,Canada
19830419,100,831,1,Canada
19830420,100,825,1,Canada
19830421,100,848,1,Canada
19830422,100,805,1,Canada
19830423,100,810,1,Canada
19830424,100,848,1,Canada
19830425,100,801,1,Canada
19830426,100,838,1,Canada
19830427,100,814,1,Canada
19830428,100,846,1,Canada
19830429,100,823,1,Canada
19830430,100,842,1,Canada
19830501,100,901,2,Canada
19830502,100,944,2,Canada
19830503,100,938,2,Canada
19830504,100,935,2,Canada
19830505,100,928,2,Canada
19830506,100,903,2,Canada
19830507,100,907,2,Canada
19830508,100,928,2,Canada
19830509,100,854,2,Canada
19830510,100,938,2,Canada
19830511,100,911,2,Canada
19830512,100,946,2,Canada
19830513,100,878,2,Canada
19830514,100,926,2,Canada
19830515,100,912,2,Canada
19830516,100,881,2,Canada
19830517,100,916,2,Canada
19830518,100,917,2,Canada
19830519,100,890,2,Canada
19830520,100,925,2,Canada
19830521,100,895,2,Canada
19830522,100,877,2,Canada
19830523,100,892,2,Canada
19830524,100,905,2,Canada
19830525,100,928,2,Canada
19830526,100,946,2,Canada
19830527,100,859,2,Canada
19830528,100,925,2,Canada
19830529,100,946,2,Canada
19830530,100,878,2,Canada
19830531,100,939,2,Canada
19830601,100,856,2,Canada
19830602,100,901,2,Canada
19830603,100,930,2,Canada
19830604,100,861,2,Canada
19830605,100,915,2,Canada
19830606,100,851,2,Canada
19830607,100,870,2,Canada
19830608,100,900,2,Canada
19830609,100,919,2,Canada
19830610,100,852,2,Canada
19830611,100,915,2,Canada
19830612,100,910,2,Canada
19830613,100,915,2,Canada
19830614,100,857,2,Canada
19830615,100,895,2,Canada
19830616,100,900,2,Canada
19830617,100,928,2,Canada
19830618,100,950,2,Canada
19830619,100,943,2,Canada
19830620,100,892,2,Canada
19830621,100,856,2,Canada
19830622,100,921,2,Canada
19830623,100,935,2,Canada
19830624,100,889,2,Canada
19830625,100,946,2,Canada
19830626,100,860,2,Canada
19830627,100,919,2,Canada
19830628,100,863,2,Canada
19830629,100,905,2,Canada
19830630,100,934,2,Canada
19830701,100,807,1,Canada
19830702,100,829,1,Canada
19830703,100,838,1,Canada
19830704,100,822,1,Canada
19830705,100,825,1,Canada
19830706,100,844,1,Canada
19830707,100,819,1,Canada
19830708,100,817,1,Canada
19830709,100,823,1,Canada
19830710,100,820,1,Canada
19830711,100,847,1,Canada
19830712,100,803,1,Canada
19830713,100,844,1,Canada
19830714,100,838,1,Canada
19830715,100,823,1,Canada
19830716,100,831,1,Canada
19830717,100,849,1,Canada
19830718,100,849,1,Canada
19830719,100,824,1,Canada
19830720,100,828,1,Canada
19830721,100,830,1,Canada
19830722,100,821,1,Canada
19830723,100,829,1,Canada
19830724,100,821,1,Canada
19830725,100,811,1,Canada
19830726,100,812,1,Canada
19830727,100,801,1,Canada
19830728,100,803,1,Canada
19830729,100,801,1,Canada
19830730,100,830,1,Canada
19830731,100,806,1,Canada
